id,name,state_id
462,Dhenkanal,19
463,Uran Islampur,14
464,Gopalganj,4
465,Bongaigaon City,3
466,Palani,23
467,Pusad,14
468,Sopore,34
469,Pilkhuwa,27
470,Tarn Taran,20
471,Renukoot,27
472,Mandamarri,24
473,Shahabad,11
474,Barbil,19
475,Koratla,24
476,Madhubani,4
477,Arambagh,28
478,Gohana,8
479,Ladnu,21
480,Pattukkottai,23
481,Sirsi,11
482,Sircilla,24
483,Tamluk,28
484,Jagraon,20
485,AlipurdUrban Agglomerationr,28
486,Alirajpur,13
487,Tandur,24
488,Naidupet,1
489,Tirupathur,23
490,Tohana,8
491,Ratangarh,21
492,Dhubri,3
493,Masaurhi,4
494,Visnagar,7
495,Vrindavan,27
496,Nokha,21
497,Nagari,1
498,Narwana,8
499,Ramanathapuram,23
500,Ujhani,27
501,Samastipur,4
502,Laharpur,27
503,Sangamner,14
504,Nimbahera,21
505,Siddipet,24
506,Suri,28
507,Diphu,3
508,Jhargram,28
509,Shirpur-Warwade,14
510,Tilhar,27
511,Sindhnur,11
512,Udumalaipettai,23
513,Malkapur,14
514,Wanaparthy,24
515,Gudur,1
516,Kendujhar,19
517,Mandla,13
518,Mandi,9
519,Nedumangad,12
520,North Lakhimpur,3
521,Vinukonda,1
522,Tiptur,11
523,Gobichettipalayam,23
524,Sunabeda,19
525,Wani,14
526,Upleta,7
527,Narasapuram,1
528,Nuzvid,1
529,Tezpur,3
530,Una,7
531,Markapur,1
532,Sheopur,13
533,Thiruvarur,23
534,Sidhpur,7
535,Sahaswan,27
536,Suratgarh,21
537,Shajapur,13
538,Rayagada,19
539,Lonavla,14
540,Ponnur,1
541,Kagaznagar,24
542,Gadwal,24
543,Bhatapara,5
544,Kandukur,1
545,Sangareddy,24
546,Unjha,7
547,Lunglei,17
548,Karimganj,3
549,Kannur,12
550,Bobbili,1
551,Mokameh,4
552,Talegaon Dabhade,14
553,Anjangaon,14
554,Mangrol,7
555,Sunam,20
556,Gangarampur,28
557,Thiruvallur,23
558,Tirur,12
559,Rath,27
560,Jatani,19
561,Viramgam,7
562,Rajsamand,21
563,Yanam,37
564,Kottayam,12
565,Panruti,23
566,Dhuri,20
567,Namakkal,23
568,Kasaragod,12
569,Modasa,7
570,Rayadurg,1
571,Supaul,4
572,Kunnamkulam,12
573,Umred,14
574,Bellampalle,24
575,Sibsagar,3
576,Mandi Dabwali,8
577,Ottappalam,12
578,Dumraon,4
579,Samalkot,1
580,Jaggaiahpet,1
581,Goa,6
582,Tuni,1
583,Lachhmangarh,21
584,Bhongir,24
585,Amalapuram,1
586,Firozpur Cantt.,20
587,Vikarabad,24
588,Thiruvalla,12
589,Sherkot,27
590,Palghar,14
591,Shegaon,14
592,Jangaon,24
593,Bheemunipatnam,1
594,Panna,13
595,Thodupuzha,12
596,KathUrban Agglomeration,34
597,Palitana,7
598,Arwal,4
599,Venkatagiri,1
600,Kalpi,27
601,Rajgarh (Churu),21
602,Sattenapalle,1
603,Arsikere,11
604,Ozar,14
605,Thirumangalam,23
606,Petlad,7
607,Nasirabad,21
608,Phaltan,14
609,Rampurhat,28
610,Nanjangud,11
611,Forbesganj,4
612,Tundla,27
613,BhabUrban Agglomeration,4
614,Sagara,11
615,Pithapuram,1
616,Sira,11
617,Bhadrachalam,24
618,Charkhi Dadri,8
619,Chatra,10
620,Palasa Kasibugga,1
621,Nohar,21
622,Yevla,14
623,Sirhind Fatehgarh Sahib,20
624,Bhainsa,24
625,Parvathipuram,1
626,Shahade,14
627,Chalakudy,12
628,Narkatiaganj,4
629,Kapadvanj,7
630,Macherla,1
631,Raghogarh-Vijaypur,13
632,Rupnagar,20
633,Naugachhia,4
634,Sendhwa,13
635,Byasanagar,19
636,Sandila,27
637,Gooty,1
638,Salur,1
639,Nanpara,27
640,Sardhana,27
641,Vita,14
642,Gumia,10
643,Puttur,11
644,Jalandhar Cantt.,20
645,Nehtaur,27
646,Changanassery,12
647,Mandapeta,1
648,Dumka,10
